metric,attribute,attribute_long,model,model_mean,cross_model_mean,cross_model_sd,z
span_count,S,Sensitivity,Qwen,0.38,0.246,0.0956,1.4024
span_count,S,Sensitivity,Llama,0.17,0.246,0.0956,-0.7954
span_count,S,Sensitivity,GPT,0.21,0.246,0.0956,-0.3768
span_count,S,Sensitivity,Claude,0.31,0.246,0.0956,0.6698
span_count,S,Sensitivity,Gemini,0.16,0.246,0.0956,-0.9
span_count,AUR,Assumption of User Accuracy,Qwen,0.56,0.48,0.1366,0.5858
span_count,AUR,Assumption of User Accuracy,Llama,0.27,0.48,0.1366,-1.5377
span_count,AUR,Assumption of User Accuracy,GPT,0.61,0.48,0.1366,0.9519
span_count,AUR,Assumption of User Accuracy,Claude,0.54,0.48,0.1366,0.4394
span_count,AUR,Assumption of User Accuracy,Gemini,0.42,0.48,0.1366,-0.4394
span_count,TD,Tentativeness / Directness,Qwen,2.95,3.0,0.4351,-0.1149
span_count,TD,Tentativeness / Directness,Llama,2.3,3.0,0.4351,-1.6087
span_count,TD,Tentativeness / Directness,GPT,3.46,3.0,0.4351,1.0571
span_count,TD,Tentativeness / Directness,Claude,3.22,3.0,0.4351,0.5056
span_count,TD,Tentativeness / Directness,Gemini,3.07,3.0,0.4351,0.1609
span_count,FIX,Fix-It Tendency,Qwen,1.33,1.2,0.1844,0.705
span_count,FIX,Fix-It Tendency,Llama,0.94,1.2,0.1844,-1.41
span_count,FIX,Fix-It Tendency,GPT,1.31,1.2,0.1844,0.5966
span_count,FIX,Fix-It Tendency,Claude,1.07,1.2,0.1844,-0.705
span_count,FIX,Fix-It Tendency,Gemini,1.35,1.2,0.1844,0.8135
span_count,RT,Recommendation Type,Qwen,1.34,1.694,0.383,-0.9243
span_count,RT,Recommendation Type,Llama,2.13,1.694,0.383,1.1384
span_count,RT,Recommendation Type,GPT,2.08,1.694,0.383,1.0079
span_count,RT,Recommendation Type,Claude,1.38,1.694,0.383,-0.8199
span_count,RT,Recommendation Type,Gemini,1.54,1.694,0.383,-0.4021
span_count,TN,Topic Shift,Qwen,1.46,1.262,0.3327,0.595
span_count,TN,Topic Shift,Llama,0.74,1.262,0.3327,-1.5688
span_count,TN,Topic Shift,GPT,1.28,1.262,0.3327,0.0541
span_count,TN,Topic Shift,Claude,1.21,1.262,0.3327,-0.1563
span_count,TN,Topic Shift,Gemini,1.62,1.262,0.3327,1.0759
span_count,QOC,Open / Closed Questions,Qwen,0.21,0.442,0.5984,-0.3877
span_count,QOC,Open / Closed Questions,Llama,0.17,0.442,0.5984,-0.4545
span_count,QOC,Open / Closed Questions,GPT,0.21,0.442,0.5984,-0.3877
span_count,QOC,Open / Closed Questions,Claude,1.51,0.442,0.5984,1.7847
span_count,QOC,Open / Closed Questions,Gemini,0.11,0.442,0.5984,-0.5548
span_count,LM,Language Matching,Qwen,0.59,0.5,0.1142,0.7878
span_count,LM,Language Matching,Llama,0.33,0.5,0.1142,-1.4881
span_count,LM,Language Matching,GPT,0.44,0.5,0.1142,-0.5252
span_count,LM,Language Matching,Claude,0.6,0.5,0.1142,0.8754
span_count,LM,Language Matching,Gemini,0.54,0.5,0.1142,0.3502
span_count,ME,Minimal Encouragers,Qwen,0.0,0.006,0.0134,-0.4472
span_count,ME,Minimal Encouragers,Llama,0.0,0.006,0.0134,-0.4472
span_count,ME,Minimal Encouragers,GPT,0.03,0.006,0.0134,1.7889
span_count,ME,Minimal Encouragers,Claude,0.0,0.006,0.0134,-0.4472
span_count,ME,Minimal Encouragers,Gemini,0.0,0.006,0.0134,-0.4472
span_count,EMP,Empathy & Matching,Qwen,2.68,2.628,0.1399,0.3717
span_count,EMP,Empathy & Matching,Llama,2.79,2.628,0.1399,1.158
span_count,EMP,Empathy & Matching,GPT,2.6,2.628,0.1399,-0.2002
span_count,EMP,Empathy & Matching,Claude,2.66,2.628,0.1399,0.2287
span_count,EMP,Empathy & Matching,Gemini,2.41,2.628,0.1399,-1.5583
span_count,INC,Incoherence,Qwen,0.08,0.034,0.0344,1.3391
span_count,INC,Incoherence,Llama,0.02,0.034,0.0344,-0.4076
span_count,INC,Incoherence,GPT,0.0,0.034,0.0344,-0.9898
span_count,INC,Incoherence,Claude,0.01,0.034,0.0344,-0.6987
span_count,INC,Incoherence,Gemini,0.06,0.034,0.0344,0.7569
token_count,S,Sensitivity,Qwen,11.18,6.206,2.8302,1.7575
token_count,S,Sensitivity,Llama,4.28,6.206,2.8302,-0.6805
token_count,S,Sensitivity,GPT,5.53,6.206,2.8302,-0.2389
token_count,S,Sensitivity,Claude,5.42,6.206,2.8302,-0.2777
token_count,S,Sensitivity,Gemini,4.62,6.206,2.8302,-0.5604
token_count,AUR,Assumption of User Accuracy,Qwen,14.4,11.066,3.4165,0.9759
token_count,AUR,Assumption of User Accuracy,Llama,5.9,11.066,3.4165,-1.5121
token_count,AUR,Assumption of User Accuracy,GPT,13.94,11.066,3.4165,0.8412
token_count,AUR,Assumption of User Accuracy,Claude,10.34,11.066,3.4165,-0.2125
token_count,AUR,Assumption of User Accuracy,Gemini,10.75,11.066,3.4165,-0.0925
token_count,TD,Tentativeness / Directness,Qwen,74.44,63.54,13.5735,0.803
